1000;3479
1000;3749
1000;2747
1000;2167
1000;3323
1000;4146
1000;1375
1000;3137
1000;2471
1000;1506
2000;4937
2000;5354
2000;6096
2000;5617
2000;7211
2000;7729
2000;5335
2000;4620
2000;6797
2000;4184
3000;10092
3000;7244
3000;10389
3000;12678
3000;3877
3000;12004
3000;10843
3000;7990
3000;5078
3000;7447
4000;13068
4000;11024
4000;7771
4000;9956
4000;9631
4000;15857
4000;12147
4000;15766
4000;7204
4000;12275
5000;10557
5000;12202
5000;6838
5000;15790
5000;27644
5000;11110
5000;12625
5000;10189
5000;10787
5000;14501
6000;18699
6000;24293
6000;28895
6000;16786
6000;23875
6000;24941
6000;11808
6000;8808
6000;21278
6000;22845
7000;23730
7000;17387
7000;11386
7000;19348
7000;16311
7000;23854
7000;27125
7000;9684
7000;18721
7000;18406
8000;31184
8000;24418
8000;15418
8000;20597
8000;17904
8000;22234
8000;22283
8000;23011
8000;22657
8000;36074
9000;22929
9000;21590
9000;24327
9000;45711
9000;27425
9000;38280
9000;29770
9000;38729
9000;29209
9000;45640
10000;17180
10000;28237
10000;30321
10000;34145
10000;23291
10000;26753
10000;37890
10000;32819
10000;45998
10000;24483
