100;576;518;0.0009262561798095703
200;1371;1257;0.001798391342163086
300;2321;2110;0.0028448104858398438
400;3122;2909;0.003960132598876953
500;4181;3857;0.005772113800048828
600;5285;4869;0.0060138702392578125
700;6046;5697;0.008123159408569336
800;7121;6680;0.008740663528442383
900;8246;7688;0.010180234909057617
1000;9287;8647;0.012697219848632812
1100;10560;9822;0.012757301330566406
1200;11662;10828;0.014750242233276367
1300;12894;12009;0.01903247833251953
1400;13550;12830;0.019640207290649414
1500;14571;13818;0.020689010620117188
1600;15815;14936;0.021833181381225586
1700;16979;15996;0.022975444793701172
1800;18234;17097;0.024144411087036133
1900;19559;18391;0.02419137954711914
2000;20595;19291;0.0274813175201416
2100;21874;20546;0.028510093688964844
2200;23219;21744;0.02817988395690918
2300;24531;22981;0.029221773147583008
2400;25909;24225;0.0307767391204834
2500;27366;25570;0.039348602294921875
2600;28322;26538;0.03433871269226074
2700;29095;27502;0.03652334213256836
2800;29764;28389;0.04369688034057617
2900;30986;29521;0.03881216049194336
3000;32238;30663;0.041136980056762695
3100;33491;31827;0.044670820236206055
3200;34702;32990;0.043535709381103516
3300;36159;34286;0.04487752914428711
3400;37370;35461;0.04824233055114746
3500;38490;36469;0.048553466796875
3600;40021;37932;0.05089855194091797
3700;41462;39222;0.05095624923706055
3800;42622;40305;0.054718017578125
3900;43941;41516;0.05576729774475098
4000;45305;42774;0.05725359916687012
4100;46810;44169;0.05847477912902832
4200;47971;45228;0.0678095817565918
4300;49522;46683;0.06008434295654297
4400;50790;47873;0.06976819038391113
4500;52423;49350;0.06577157974243164
4600;53696;50538;0.06872200965881348
4700;55358;52111;0.06747293472290039
4800;56471;53129;0.07219147682189941
4900;58075;54619;0.06969141960144043
5000;59576;56032;0.07342672348022461
5100;60944;57348;0.07257628440856934
5200;61979;58473;0.07833027839660645
5300;62738;59405;0.07943606376647949
5400;63571;60400;0.08257389068603516
5500;64357;61408;0.08314156532287598
5600;65340;62556;0.09228777885437012
5700;66379;63497;0.08700442314147949
5800;67722;64833;0.08756017684936523
5900;68965;65971;0.08791041374206543
6000;70480;67381;0.0910801887512207
6100;71719;68486;0.09178757667541504
6200;73280;69978;0.09398603439331055
6300;74554;71158;0.09321784973144531
6400;75953;72414;0.0977778434753418
6500;77241;73620;0.09954118728637695
6600;78842;75120;0.10605764389038086
6700;80352;76526;0.10718011856079102
6800;81615;77666;0.1033620834350586
6900;82908;78916;0.10510468482971191
7000;84208;80078;0.10662198066711426
7100;85783;81557;0.10960841178894043
7200;87130;82840;0.11285686492919922
7300;88680;84280;0.1141350269317627
7400;90070;85497;0.11710929870605469
7500;91387;86774;0.1186373233795166
7600;92981;88261;0.11661458015441895
7700;94501;89743;0.12066125869750977
7800;95947;91045;0.12273287773132324
7900;97402;92401;0.12409281730651855
8000;98997;93891;0.12818264961242676
8100;100275;95129;0.1383051872253418
8200;101728;96439;0.13590717315673828
8300;103220;97876;0.1303093433380127
8400;104735;99208;0.12994623184204102
8500;106078;100497;0.1331188678741455
8600;107377;101770;0.13352227210998535
8700;108877;103118;0.13551092147827148
8800;110830;104968;0.13913393020629883
8900;112153;106257;0.15731024742126465
9000;113678;107618;0.14376616477966309
9100;115243;109044;0.14523530006408691
9200;116678;110405;0.14673209190368652
9300;118112;111753;0.14845561981201172
9400;119804;113393;0.1509246826171875
9500;121145;114534;0.15724873542785645
9600;122493;115881;0.15699481964111328
9700;124194;117419;0.15892410278320312
9800;125997;119087;0.15865302085876465
9900;127388;120393;0.16013693809509277
10000;129208;122204;0.17136812210083008
