100;3789;0.0037102699279785156
200;10002;0.011342048645019531
300;16041;0.01600790023803711
400;22967;0.022099733352661133
500;30908;0.03061699867248535
600;39373;0.04288077354431152
700;48327;0.05099821090698242
800;55310;0.06002473831176758
900;64348;0.06334042549133301
1000;72059;0.07293009757995605
1100;80926;0.0810708999633789
1200;88622;0.08816885948181152
1300;98747;0.09647202491760254
1400;108128;0.11163139343261719
1500;117683;0.11954402923583984
1600;129220;0.1479332447052002
1700;138020;0.1558208465576172
1800;149569;0.15480375289916992
1900;158510;0.16673064231872559
2000;169048;0.17902731895446777
2100;176900;0.18327736854553223
2200;188763;0.19705748558044434
2300;196874;0.20674610137939453
2400;208635;0.22324156761169434
2500;218990;0.22440648078918457
2600;228453;0.2349555492401123
2700;238130;0.24457287788391113
2800;247646;0.26502418518066406
2900;259375;0.26018548011779785
3000;267978;0.2827579975128174
3100;277808;0.2964763641357422
3200;287912;0.312847375869751
3300;297163;0.3030221462249756
3400;309717;0.3260653018951416
3500;319575;0.3300666809082031
3600;331347;0.3459193706512451
3700;342359;0.3684413433074951
3800;353387;0.37063121795654297
3900;360815;0.3920917510986328
4000;371809;0.40381574630737305
4100;382622;0.4176042079925537
4200;396475;0.4438788890838623
4300;408531;0.47311925888061523
4400;417225;0.4837784767150879
4500;431132;0.5853252410888672
4600;441248;0.5069148540496826
4700;453738;0.5126831531524658
4800;462616;0.5448627471923828
4900;477837;0.5513944625854492
5000;483895;0.5840051174163818
5100;498004;0.5844106674194336
5200;509499;0.6045246124267578
5300;521121;0.6330709457397461
5400;537000;0.6425747871398926
5500;545428;0.6643624305725098
5600;555466;0.6838858127593994
5700;567751;0.6888613700866699
5800;581125;0.7116661071777344
5900;589845;0.7347352504730225
6000;605496;0.9208011627197266
6100;613920;0.9512119293212891
6200;626527;0.8898782730102539
6300;635895;0.8909070491790771
6400;651737;0.9214150905609131
6500;658666;0.9387845993041992
6600;674702;0.9407355785369873
6700;683812;0.9727437496185303
6800;698747;0.9853866100311279
6900;713653;1.0076243877410889
7000;716301;1.0285718441009521
7100;727264;1.0378491878509521
7200;743157;1.0300915241241455
7300;752622;1.0624046325683594
7400;768518;1.0430147647857666
7500;776965;1.0644376277923584
7600;788726;1.0572483539581299
7700;803874;1.0519754886627197
7800;815594;1.0714960098266602
7900;826302;1.1004879474639893
8000;835472;1.0921168327331543
8100;848971;1.1343352794647217
8200;861771;1.1417279243469238
8300;876062;1.1730802059173584
8400;885212;1.2145435810089111
8500;898839;1.2044668197631836
8600;909549;1.225736379623413
8700;925875;1.2924621105194092
8800;931843;1.3404111862182617
8900;951109;1.4298655986785889
9000;961475;1.4493777751922607
9100;977807;1.5067713260650635
9200;982349;1.7775287628173828
9300;992948;1.7948713302612305
9400;1008829;1.83349609375
9500;1015039;1.657930850982666
9600;1034140;1.7147345542907715
9700;1046611;1.5203919410705566
9800;1055362;1.5315182209014893
9900;1071141;1.5181000232696533
10000;1081779;1.7254822254180908
